[01:21:37] [INFO] received Windows console close event; shutting log-core down
[14:37:23] [INFO] received Windows console close event; shutting log-core down
[15:05:30] [INFO] received Windows console close event; shutting log-core down
[15:06:52] [INFO] received Windows console close event; shutting log-core down
[22:19:03] [INFO] received Windows console close event; shutting log-core down
[21:09:46] [INFO] received Windows console close event; shutting log-core down
[21:11:50] [INFO] received Windows console close event; shutting log-core down
[21:12:36] [INFO] received Windows console close event; shutting log-core down
[21:13:56] [INFO] received Windows console close event; shutting log-core down
[23:08:39] [INFO] received Windows console close event; shutting log-core down
[23:24:57] [INFO] received Windows console close event; shutting log-core down
[23:25:35] [INFO] received Windows console close event; shutting log-core down
[00:10:12] [INFO] received Windows console close event; shutting log-core down
[00:50:38] [INFO] received Windows console close event; shutting log-core down
[14:08:26] [INFO] received Windows console close event; shutting log-core down
[14:08:58] [INFO] received Windows console close event; shutting log-core down
[14:44:13] [INFO] received Windows console close event; shutting log-core down
[14:46:54] [INFO] received Windows console close event; shutting log-core down
[17:26:52] [INFO] received Windows console close event; shutting log-core down
[22:52:56] [INFO] received Windows console close event; shutting log-core down
[23:23:45] [INFO] received Windows console close event; shutting log-core down
[01:07:39] [INFO] received Windows console close event; shutting log-core down
[18:39:56] [INFO] received Windows console close event; shutting log-core down
[18:56:44] [INFO] received Windows console close event; shutting log-core down
[20:45:58] [INFO] received Windows console close event; shutting log-core down
[22:27:26] [INFO] received Windows console close event; shutting log-core down
[22:42:25] [INFO] received Windows console close event; shutting log-core down
[02:21:41] [INFO] received Windows console close event; shutting log-core down
[02:30:07] [INFO] received Windows console close event; shutting log-core down
[02:37:10] [INFO] received Windows console close event; shutting log-core down
[02:40:14] [INFO] received Windows console close event; shutting log-core down
[02:55:27] [INFO] received Windows console close event; shutting log-core down
[12:10:54] [INFO] received Windows console close event; shutting log-core down
[14:45:53] [INFO] received Windows console close event; shutting log-core down
[14:50:44] [INFO] received Windows console close event; shutting log-core down
[14:58:44] [INFO] received Windows console close event; shutting log-core down
[15:06:38] [INFO] received Windows console close event; shutting log-core down
[15:22:21] [INFO] received Windows console close event; shutting log-core down
[20:13:07] [INFO] received Windows console close event; shutting log-core down
[23:51:54] [INFO] received Windows console close event; shutting log-core down
[00:22:05] [INFO] received Windows console close event; shutting log-core down
[21:26:03] [INFO] received Windows console close event; shutting log-core down
[01:46:15] [INFO] received Windows console close event; shutting log-core down
[02:08:33] [INFO] received Windows console close event; shutting log-core down
[14:07:40] [INFO] received Windows console close event; shutting log-core down
